SPECIES,COMMON,SOURCE,DATATYPE,TAG,TAGNO, ,TAGEVENT,TAGTYPE,LATDEC,LONDEC,DATE,MONTH,DAY,YEAR,FL_CM,FL_DET,PCL_CM,PCL_DET,TL_CM,TL_DET,STL_CM,STL_DET,SL_CM,SL_DET,LENGTHS_DET,LIFESTAGE_AUTHOR,LIFESTAGE_HMS_EFH,WT_A,WT_A_UNITS,WT_DET,WT_KG,SEX,OCC,GEAR,LOC,NOTES,Source ID,SourceFile
Carcharhinus limbatus,Blacktip,COASTSPAN/UNF,T,,10, ,,UNF,30.687,-81.499,7/24/13,7,24,2013,51,MEAS,46,MEAS,62.1,CALC,64,MEAS,,,,,neo,1.7,KG,MEAS,1.7,F,BIO,LL,Cumberland Sound,,0904_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,VIMS,T,,115, ,,VIMS HP-S,37.252,-75.897,7/22/06,7,22,2006,96,MEAS,87,MEAS,122,MEAS,,,,,,,juv,,,,,M,BIO,LL,,,LL20060701009,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,EFP_2009,,Y,205, ,,A,37.272,-75.769,7/28/09,7,28,2009,47.2,FL_MEAS,,,39.8,TL_MEAS,,,,,,,neo,,,,,M,,BLL,ATL,SHK-LOA-09-06,,EFP_2009_CCL(ATL).xlsx
Carcharhinus limbatus,Blacktip,VIMS,T,,205, ,,VIMS HP-S,37.272,-75.769,7/28/09,7,28,2009,101,MEAS,89,MEAS,120,MEAS,,,,,,,juv,,,,,M,BIO,LL,,,LL20090701004,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,330, ,,BR,18.367,-64.933,1/3/04,1,3,2004,55,EST,,,66.9,CALC,,,,,,,neo,,,,,U,BIO,HL,,,330,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,333, ,,BR,18.367,-64.933,6/11/04,6,11,2004,67,MEAS,,,81.2,CALC,,,,,,,juv,3,KG,MEAS,3,F,BIO,LL,,,333,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,R,,334,duplicate,,BR,18.3,-64.817,7/20/06,7,20,2006,99,EST,,,119.5,CALC,,,,,,,juv,,,,,F,REC,RR,,,334,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,334,duplicate,,BR,18.367,-64.933,6/11/04,6,11,2004,68,MEAS,,,82.4,CALC,,,,,,,juv,3,KG,MEAS,3,F,BIO,LL,,,334,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,339, ,,BR,18.317,-64.767,6/13/04,6,13,2004,52,MEAS,,,63.3,CALC,,,,,,,neo,2,KG,MEAS,2,M,BIO,LL,,,339,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,349, ,,BR,18.317,-64.767,6/13/04,6,13,2004,50,MEAS,,,60.9,CALC,,,,,,,neo,1,KG,MEAS,1,M,BIO,LL,,,349,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,351, ,,BR,18.317,-64.767,6/13/04,6,13,2004,52,MEAS,,,63.3,CALC,,,,,,,neo,1,KG,MEAS,1,M,BIO,LL,,,351,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,352, ,,BR,18.317,-64.767,6/13/04,6,13,2004,50,MEAS,,,60.9,CALC,,,,,,,neo,1,KG,MEAS,1,M,BIO,LL,,,352,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,353, ,,BR,18.317,-64.767,6/13/04,6,13,2004,52,MEAS,,,63.3,CALC,,,,,,,neo,1,KG,MEAS,1,F,BIO,LL,,,353,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,354, ,,BR,18.317,-64.767,6/13/04,6,13,2004,67,MEAS,,,81.2,CALC,,,,,,,juv,4,KG,MEAS,4,M,BIO,LL,,,354,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,355, ,,BR,18.317,-64.767,6/13/04,6,13,2004,77,MEAS,,,93.2,CALC,,,,,,,juv,5,KG,MEAS,5,F,BIO,LL,,,355,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,358, ,,BR,18.367,-64.933,6/15/04,6,15,2004,68,MEAS,,,82.4,CALC,,,,,,,juv,2,KG,MEAS,2,F,BIO,LL,,,358,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,359,duplicate,,BR,18.317,-64.767,6/16/04,6,16,2004,47,MEAS,,,57.3,CALC,,,,,,,neo,1,KG,MEAS,1,F,BIO,LL,,,359,Atlantic_CCL_COASTSPAN.xlsx
