SPECIES,COMMON,SOURCE,DATATYPE,TAG,TAGNO,TAGEVENT,TAGTYPE,LATDEC,LONDEC,DATE,MONTH,DAY,YEAR,FL_CM,FL_DET,TL_CM,TL_DET,PFCFL_CM,SL_CM,LENGTHS_DET,LJFL_CM,LJFL_DET,LIFESTAGE_AUTHOR,LIFESTAGE_HMS_EFH,WT_A,WT_A_UNITS,WT_DET,WT_KG,WT_MEAS,Dressed_WT_lb,SEX,OCC,GEAR,LOC,NOTES,Source_ID,SourceFile,DuplbyTagNo
Thunnus thynnus,Bluefin,CTS,T,Y,A000378,M,E,35.500,-75.330,4/24/1955,4,24,1955,246.4,FL_EST,,N,,,,,,NP,adu ,NP,NP,,,,,NP,UNK,RR,US,,,BFT_CTS.xlsx,   
Thunnus thynnus,Bluefin,CTS,T,Y,B000720,M,E,25.500,-79.330,5/30/1955,5,30,1955,239.1,RW_FL,,N,,,,,,NP,adu ,525,LB,,238.1,R_WT_EST,,NP,UNK,RR,US,,,BFT_CTS.xlsx,   
Thunnus thynnus,Bluefin,CTS,T,Y,B000719,M,E,25.500,-79.330,5/31/1955,5,31,1955,243.1,RW_FL,,N,,,,,,NP,adu ,550,LB,,249.5,R_WT_EST,,NP,UNK,RR,US,,,BFT_CTS.xlsx,   
Thunnus thynnus,Bluefin,CTS,T,Y,B000721,M,E,25.500,-79.330,6/4/1955,6,4,1955,221.8,RW_FL,,N,,,,,,NP,adu ,425,LB,,192.8,R_WT_EST,,NP,UNK,RR,US,,,BFT_CTS.xlsx,   
Thunnus thynnus,Bluefin,CTS,T,Y,B000722,M,E,25.500,-79.330,6/4/1955,6,4,1955,217,RW_FL,,N,,,,,,NP,adu ,400,LB,,181.4,R_WT_EST,,NP,UNK,RR,US,,,BFT_CTS.xlsx,   
Thunnus thynnus,Bluefin,CTS,T,Y,B000723,M,E,25.500,-79.330,6/4/1955,6,4,1955,195.9,RW_FL,,N,,,,,,NP,adu ,300,LB,,136.1,R_WT_EST,,NP,UNK,RR,US,,,BFT_CTS.xlsx,   
Thunnus thynnus,Bluefin,CTS,T,Y,B000754,M,E,25.500,-79.330,6/6/1955,6,6,1955,217,RW_FL,,N,,,,,,NP,adu ,400,LB,,181.4,R_WT_EST,,NP,UNK,RR,US,,,BFT_CTS.xlsx,   
Thunnus thynnus,Bluefin,CTS,T,Y,B000758,M,E,25.500,-79.330,6/6/1955,6,6,1955,239.1,RW_FL,,N,,,,,,NP,adu ,525,LB,,238.1,R_WT_EST,,NP,UNK,RR,US,,,BFT_CTS.xlsx,   
Thunnus thynnus,Bluefin,CTS,T,Y,B000756,M,E,25.500,-79.330,6/7/1955,6,7,1955,239.6,RW_FL,,N,,,,,,NP,adu ,528,LB,,239.5,R_WT_EST,,NP,UNK,RR,US,,,BFT_CTS.xlsx,   
Thunnus thynnus,Bluefin,CTS,T,Y,B000757,M,E,25.500,-79.330,6/7/1955,6,7,1955,217,RW_FL,,N,,,,,,NP,adu ,400,LB,,181.4,R_WT_EST,,NP,UNK,RR,US,,,BFT_CTS.xlsx,   
