SPECIES,COMMON,SOURCE,DATATYPE,TAG,TAGNO,TAGEVENT,TAGTYPE,LATDEC,LONDEC,DATE,MONTH,DAY,YEAR,FL_CM,FL_DET,PCL_CM,PCL_DET,TL_CM,TL_DET,STL_CM,STL_DET,LENGTHS_DET,LIFESTAGE_AUTHOR,LIFESTAGE_HMS_EFH,WT_A,WT_A_UNITS,WT_DET,WT_KG,DRESSED WT (lb),SEX,OCC,GEAR,LOC,NOTES,Source ID,SourceFile
Isurus oxyrinchus,Shortfin Mako,POP,O,Y,P01489,M,,38.350,-73.667,,8,16,2009,83.0,FL_MEAS,,,,N,,,Straight  ,NP,neo,NP,NP,,4.5,,F,OBS,NS,,,,SMA_POP.xlsx
Isurus oxyrinchus,Shortfin Mako,POP,O,Y,P01449,M,,28.967,-77.417,,2,3,2010,110.0,FL_MEAS,,,,N,,,Straight  ,NP,juv,NP,NP,,11.3,,F,OBS,NS,,,,SMA_POP.xlsx
Isurus oxyrinchus,Shortfin Mako,POP,O,Y,P00450,M,,28.500,-89.933,,4,23,2008,85.0,FL_MEAS,,,,N,,,Straight  ,NP,neo,NP,NP,,,,M,OBS,NS,,,,SMA_POP.xlsx
Isurus oxyrinchus,Shortfin Mako,POP,O,Y,P00442,M,,28.550,-89.450,,3,25,2008,110.0,FL_MEAS,,,,N,,,Straight  ,NP,juv,NP,NP,,,,F,OBS,NS,,,,SMA_POP.xlsx
Isurus oxyrinchus,Shortfin Mako,POP,O,Y,P00201,M,,28.067,-91.233,,4,19,2008,107.0,FL_MEAS,,,,N,,,Straight  ,NP,juv,NP,NP,,,,NP,OBS,NS,,,,SMA_POP.xlsx
Isurus oxyrinchus,Shortfin Mako,POP,O,Y,M38076,R,,39.733,-71.667,,8,30,2006,118.0,FL_MEAS,,,,N,,,Straight  ,NP,juv,NP,NP,,,19,F,OBS,NS,,,,SMA_POP.xlsx
Isurus oxyrinchus,Shortfin Mako,POP,O,Y,F313160,R,,39.233,-72.167,,11,22,2010,146.0,FL_MEAS,,,,N,,,Straight  ,NP,juv,NP,NP,,,57,M,OBS,NS,,,,SMA_POP.xlsx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499651,,HP,40.686,-70.506,,7,12,2014,147.0,MEAS,,,160.1,CALC,,,,,juv,33.6,KG,CALC,33.6,,M,BIO,FREE SWIMMING,,,499651,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499650,,HP,40.679,-71.512,,7,13,2014,167.0,MEAS,,,181.7,CALC,,,,,juv,50.2,KG,CALC,50.2,,F,BIO,FREE SWIMMING,,,499650,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499574,,HP,40.850,-71.717,,7,27,2013,152.4,EST,,,166.0,CALC,,,,,juv,37.6,KG,CALC,37.6,,F,BIO,RR,,,499574,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499573,,HP,40.873,-71.702,,7,27,2013,134.0,MEAS,,,146.1,CALC,,,,,juv,25.1,KG,CALC,25.1,,F,BIO,RR,,,499573,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,R,,499573,,HP,37.000,-74.583,,10,21,2013,110.2,CALC,,,120.5,CALC,,,,,juv,13.6,KG,EST,13.6,,F,COM,LL,,,499573,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499525,,HP,40.700,-71.442,,7,27,2013,137.5,EST,,,149.9,EST,,,,,juv,27.2,KG,CALC,27.2,,M,BIO,RR,,,499525,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499403,,HP,40.824,-71.721,,7,27,2013,121.9,EST,,,152.4,EST,,,,,juv,27.2,KG,EST,27.2,,U,REC,RR,,,499403,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499401,,HP,40.826,-71.724,,7,27,2013,121.9,EST,,,152.4,EST,,,,,juv,18.1,KG,EST,18.1,,U,REC,RR,,,499401,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499355,,HP,40.845,-71.708,,7,28,2013,111.5,EST,,,121.9,EST,,,,,juv,18.1,KG,EST,18.1,,M,REC,RR,,,499355,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499353,,HP,40.845,-71.708,,7,28,2013,97.4,EST,,,106.7,EST,,,,,neo,17.0,KG,EST,17.0,,F,REC,RR,,,499353,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499352,,HP,40.833,-71.400,,7,27,2013,92.6,EST,,,101.6,EST,,,,,neo,18.1,KG,EST,18.1,,U,REC,RR,,,499352,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499326,,HP,40.833,-71.617,,7,27,2013,111.5,EST,,,121.9,EST,,,,,juv,22.7,KG,EST,22.7,,U,REC,RR,,,499326,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499298,,HP,40.837,-71.676,,7,28,2013,125.7,EST,,,137.2,EST,,,,,juv,22.7,KG,EST,22.7,,U,REC,RR,,,499298,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499296,,HP,40.837,-71.676,,7,27,2013,111.5,EST,,,121.9,EST,,,,,juv,14.1,KG,CALC,14.1,,F,REC,RR,,,499296,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499276,,HP,40.837,-71.676,,7,27,2013,154.0,EST,,,167.6,EST,,,,,juv,36.3,KG,EST,36.3,,F,REC,RR,,,499276,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499202,,HP,40.883,-71.438,,7,28,2013,139.8,EST,,,152.4,EST,,,,,juv,31.8,KG,EST,31.8,,F,REC,RR,,,499202,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,499200,,HP,40.883,-71.438,,7,28,2013,106.7,EST,,,121.9,EST,,,,,neo,18.1,KG,EST,18.1,,F,REC,RR,,,499200,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,364951,,M,41.117,-71.300,,9,14,2014,121.9,EST,,,137.2,EST,,,,,juv,20.4,KG,EST,20.4,,U,REC,RR,,,364951,SMA_COASTSPAN.xlslx
Isurus oxyrinchus,Shortfin Mako,CSTP,T,,364950,,M,41.133,-71.317,,9,13,2014,114.3,EST,,,121.9,EST,,,,,juv,13.6,KG,EST,13.6,,U,REC,RR,,,364950,SMA_COASTSPAN.xlslx
